match_id,season,date,home_team,away_team,diff_total,diff_attack,diff_defense,home_team_total,away_team_total,both_coverage_ok,side_x,home_opponent,home_team_attack,home_team_defense,home_coverage_rate,home_coverage_ok,side_y,away_opponent,away_team_attack,away_team_defense,away_coverage_rate,away_coverage_ok,HomeScore,AwayScore,home_form_pts,away_form_pts,home_form_gd,away_form_gd,diff_form_pts,diff_form_gd
2022_2022-08-01_HFX_Wanderers_vs_York_United,2022,2022-08-01 18:00:00+00:00,Wanderers,York,0.0,0.0,0.0,55.0,55.0,True,home,York,55.0,55.0,1.0,True,away,Wanderers,55.0,55.0,1.0,True,2,4,0.8,0.6,-0.6,-1.8,0.20000000000000007,1.2000000000000002
2022_2022-08-04_Valour_vs_Cavalry,2022,2022-08-04 00:00:00+00:00,Valour,Cavalry,-630.6785,-630.6785,-630.6785,16125.1111,16755.7896,True,home,Cavalry,16125.1111,16125.1111,1.0,True,away,Valour,16755.7896,16755.7896,1.0,True,2,0,1.4,1.2,-0.2,0.0,0.19999999999999996,-0.2
2022_2022-08-06_Forge_vs_HFX_Wanderers,2022,2022-08-06 20:00:00+00:00,Forge,Wanderers,0.0,0.0,0.0,55.0,55.0,True,home,Wanderers,55.0,55.0,1.0,True,away,Forge,55.0,55.0,1.0,True,1,0,3.0,0.2,2.6,-1.6,2.8,4.2
2022_2022-08-07_Atlético_Ottawa_vs_Edmonton,2022,2022-08-07 18:37:00+00:00,Atlético,Edmonton,0.0,0.0,0.0,55.0,55.0,True,home,Edmonton,55.0,55.0,1.0,True,away,Atlético,55.0,55.0,1.0,True,2,1,1.6,0.8,0.0,-0.8,0.8,0.8
2022_2022-08-07_Valour_vs_York_United,2022,2022-08-07 21:00:00+00:00,Valour,York,0.0,0.0,0.0,55.0,55.0,True,home,York,55.0,55.0,1.0,True,away,Valour,55.0,55.0,1.0,True,2,0,1.4,1.2,0.0,-0.8,0.19999999999999996,0.8
2022_2022-08-13_Cavalry_vs_Forge,2022,2022-08-13 01:00:00+00:00,Cavalry,Forge,-138.08950000000186,-138.08950000000186,-138.08950000000186,16643.4679,16781.5574,True,home,Forge,16643.4679,16643.4679,1.0,True,away,Cavalry,16781.5574,16781.5574,1.0,True,2,1,0.6,3.0,-1.0,2.4,-2.4,-3.4
2022_2022-08-13_HFX_Wanderers_vs_Valour,2022,2022-08-13 18:00:00+00:00,Wanderers,Valour,0.0,0.0,0.0,55.0,55.0,True,home,Valour,55.0,55.0,1.0,True,away,Wanderers,55.0,55.0,1.0,True,1,0,0.2,1.4,-1.4,0.2,-1.2,-1.5999999999999999
2022_2022-08-13_Pacific_vs_Atlético_Ottawa,2022,2022-08-13 21:00:00+00:00,Pacific,Atlético,0.0,0.0,0.0,55.0,55.0,True,home,Atlético,55.0,55.0,1.0,True,away,Pacific,55.0,55.0,1.0,True,1,0,2.6,1.6,1.4,0.0,1.0,1.4
2022_2022-08-14_York_United_vs_Edmonton,2022,2022-08-14 20:00:00+00:00,York,Edmonton,0.0,0.0,0.0,55.0,55.0,True,home,Edmonton,55.0,55.0,1.0,True,away,York,55.0,55.0,1.0,True,3,2,1.2,0.2,-0.8,-1.6,1.0,0.8
2022_2022-08-17_Atlético_Ottawa_vs_HFX_Wanderers,2022,2022-08-17 23:00:00+00:00,Atlético,Wanderers,0.0,0.0,0.0,55.0,55.0,True,home,Wanderers,55.0,55.0,1.0,True,away,Atlético,55.0,55.0,1.0,True,3,2,1.4,0.8,-0.2,-1.0,0.5999999999999999,0.8
2022_2022-08-20_HFX_Wanderers_vs_Pacific,2022,2022-08-20 17:30:00+00:00,Wanderers,Pacific,0.0,0.0,0.0,55.0,55.0,True,home,Pacific,55.0,55.0,1.0,True,away,Wanderers,55.0,55.0,1.0,True,1,0,0.8,3.0,-0.6,1.6,-2.2,-2.2
2022_2022-08-20_Forge_vs_York_United,2022,2022-08-20 23:00:00+00:00,Forge,York,0.0,0.0,0.0,55.0,55.0,True,home,York,55.0,55.0,1.0,True,away,Forge,55.0,55.0,1.0,True,1,3,2.4,1.8,1.4,-0.2,0.5999999999999999,1.5999999999999999
2022_2022-08-21_Valour_vs_Edmonton,2022,2022-08-21 18:30:00+00:00,Valour,Edmonton,-62455.6301,-62455.6301,-62455.6301,16237.4329,78693.063,True,home,Edmonton,16237.4329,16237.4329,1.0,True,away,Valour,78693.063,78693.063,1.0,True,1,1,1.2,0.2,0.0,-1.6,1.0,1.6
