match_id,season,date,home_team,away_team,diff_total,diff_attack,diff_defense,home_team_total,away_team_total,both_coverage_ok,side_x,home_opponent,home_team_attack,home_team_defense,home_coverage_rate,home_coverage_ok,side_y,away_opponent,away_team_attack,away_team_defense,away_coverage_rate,away_coverage_ok
2022_2022-08-20_HFX_Wanderers_vs_Pacific,2022,2022-08-20T17:30:00Z,Wanderers,Pacific,-793.5400000000009,-793.5400000000009,-793.5400000000009,16083.98,16877.52,True,home,Pacific,16083.98,16083.98,1.0,True,away,Wanderers,16877.52,16877.52,1.0,True
2022_2022-08-20_Forge_vs_York_United,2022,2022-08-20T23:00:00Z,Forge,York,786.6099999999988,786.6099999999988,786.6099999999988,16886.21,16099.6,True,home,York,16886.21,16886.21,1.0,True,away,Forge,16099.6,16099.6,1.0,True
2022_2022-08-21_Valour_vs_Edmonton,2022,2022-08-21T18:30:00Z,Valour,Edmonton,-67132.82999999999,-67132.82999999999,-67132.82999999999,16484.6,83617.43,True,home,Edmonton,16484.6,16484.6,1.0,True,away,Valour,83617.43,83617.43,1.0,True
2022_2022-08-21_Cavalry_vs_Atlético_Ottawa,2022,2022-08-21T21:30:00Z,Cavalry,Atlético,-40.590000000000146,-40.590000000000146,-40.590000000000146,16704.38,16744.97,True,home,Atlético,16704.38,16704.38,1.0,True,away,Cavalry,16744.97,16744.97,1.0,True
2022_2022-08-27_Cavalry_vs_York_United,2022,2022-08-27T19:30:00Z,Cavalry,York,414.6999999999989,414.6999999999989,414.6999999999989,16618.03,16203.33,True,home,York,16618.03,16618.03,1.0,True,away,Cavalry,16203.33,16203.33,1.0,True
2022_2022-08-27_Atlético_Ottawa_vs_Forge,2022,2022-08-27T22:30:00Z,Atlético,Forge,48.840000000000146,48.840000000000146,48.840000000000146,16831.32,16782.48,True,home,Forge,16831.32,16831.32,1.0,True,away,Atlético,16782.48,16782.48,1.0,True
2022_2022-08-28_Valour_vs_Pacific,2022,2022-08-28T19:00:00Z,Valour,Pacific,-345.84000000000015,-345.84000000000015,-345.84000000000015,16436.86,16782.7,True,home,Pacific,16436.86,16436.86,1.0,True,away,Valour,16782.7,16782.7,1.0,True
2022_2022-08-28_Edmonton_vs_HFX_Wanderers,2022,2022-08-28T22:00:00Z,Edmonton,Wanderers,71006.84999999999,71006.84999999999,71006.84999999999,87185.65,16178.8,True,home,Wanderers,87185.65,87185.65,1.0,True,away,Edmonton,16178.8,16178.8,1.0,True
2022_2022-09-01_Valour_vs_Forge,2022,2022-09-01T00:00:00Z,Valour,Forge,-266.2000000000007,-266.2000000000007,-266.2000000000007,16522.11,16788.31,True,home,Forge,16522.11,16522.11,1.0,True,away,Valour,16788.31,16788.31,1.0,True
2022_2022-09-02_Atlético_Ottawa_vs_Edmonton,2022,2022-09-02T23:00:00Z,Atlético,Edmonton,-74121.72,-74121.72,-74121.72,16825.6,90947.32,True,home,Edmonton,16825.6,16825.6,1.0,True,away,Atlético,90947.32,90947.32,1.0,True
