match_id,fatigue_home,fatigue_away,travel_km_away,tz_change_away,weather_temp,weather_rain_prob,avg_goals_home,avg_goals_away,rain_impact_home,rain_impact_away
2022-08-28_Edmonton_vs_Wanderers,1.0987,3.3412,3682.4,-3,22.0,0.25,1.0,1.2,0.25,0.3
2022-09-01_Valour_vs_Forge,3.0,2.8376,1675.3,-1,18.0,0.25,1.2,1.4,0.3,0.35
2022-09-02_Atlético_vs_Edmonton,0.0,2.9192,2838.5,2,20.0,0.25,1.6,1.4,0.4,0.35
2022-09-03_Pacific_vs_York,1.9571,0.8643,728.6,-1,17.0,0.2,1.2,2.0,0.24,0.4
2022-09-04_Valour_vs_Forge,3.0,3.0,0.0,0,18.0,0.25,1.0,0.6,0.25,0.15
2022-09-05_Wanderers_vs_Cavalry,3.3412,3.3813,3762.5,3,16.0,0.35,1.2,1.0,0.42,0.35
2022-09-09_York_vs_Edmonton,3.1917,0.1762,352.4,0,20.0,0.25,1.8,1.4,0.45,0.35
2022-09-10_Wanderers_vs_Valour,0.5,2.2877,2575.3,2,16.0,0.35,1.2,0.8,0.42,0.27999999999999997
2022-09-10_Forge_vs_Cavalry,1.2533,1.6538,1307.6,-1,20.0,0.25,0.4,0.6,0.1,0.15
2022-09-11_Pacific_vs_Atlético,0.0,3.2941,3588.1,-3,17.0,0.2,0.8,1.2,0.16000000000000003,0.24
2022-09-16_York_vs_Wanderers,0.0,1.1354,1270.8,-1,20.0,0.25,2.4,1.2,0.6,0.3
2022-09-17_Edmonton_vs_Cavalry,2.3444,2.3511,2702.2,-2,16.0,0.2,1.4,0.8,0.27999999999999997,0.16000000000000003
2022-09-18_Valour_vs_Atlético,2.2877,1.9571,1914.3,2,18.0,0.25,0.8,1.4,0.2,0.35
2022-09-19_Pacific_vs_Forge,0.0,3.1921,3384.3,-3,17.0,0.2,0.6,0.6,0.12,0.12
2022-09-23_York_vs_Valour,0.0,1.748,1496.0,1,20.0,0.25,1.8,0.8,0.45,0.2
2022-09-24_Cavalry_vs_Atlético,0.1501,1.1033,1206.5,-1,16.0,0.2,0.6,1.0,0.12,0.2
2022-09-25_Edmonton_vs_Forge,0.0,0.9509,901.8,1,16.0,0.2,1.0,0.6,0.2,0.12
2022-09-27_Wanderers_vs_Pacific,1.1354,4.242,4484.0,4,16.0,0.35,0.8,0.6,0.27999999999999997,0.21
2022-10-01_Pacific_vs_Edmonton,7.242,1.4509,901.8,-1,12.0,0.45,1.0,1.0,0.45,0.45
2022-10-01_Wanderers_vs_Atlético,3.0,3.3813,3762.5,3,10.0,0.4,0.6,1.0,0.24,0.4
2022-10-01_Forge_vs_York,2.3511,0.0318,63.7,0,13.0,0.25,0.8,1.8,0.2,0.45
2022-10-02_Cavalry_vs_Valour,0.0,2.3482,2696.4,-2,9.0,0.15,0.8,0.8,0.12,0.12
2022-10-05_Forge_vs_Pacific,1.5,4.6921,3384.3,3,13.0,0.25,1.2,1.2,0.3,0.3
2022-10-08_Edmonton_vs_Valour,0.9509,0.6501,300.2,0,9.0,0.15,0.4,0.8,0.06,0.12
2022-10-08_Cavalry_vs_Pacific,0.0,5.3513,2702.6,-2,9.0,0.15,1.0,1.2,0.15,0.18
2022-10-09_Forge_vs_Wanderers,3.0,1.1538,1307.6,-1,13.0,0.25,1.2,0.4,0.3,0.1
2022-10-09_Atlético_vs_York,0.9769,0.2035,407.0,0,13.0,0.25,1.4,1.8,0.35,0.45
2022-10-15_Cavalry_vs_Forge,0.0,2.3513,2702.6,-2,9.0,0.15,1.2,1.0,0.18,0.15
2022-10-15_Pacific_vs_Atlético,0.8643,3.2941,3588.1,-3,12.0,0.45,1.0,1.8,0.45,0.81
2022-10-23_Atlético_vs_Pacific,3.2941,3.2941,3588.1,3,13.0,0.25,2.0,0.8,0.5,0.2
2022-10-23_Forge_vs_Cavalry,2.3513,2.3513,2702.6,2,13.0,0.25,1.0,1.2,0.25,0.3
