playerName,season,team,position,role,GamesPlayed,Minutes,Goals,Assists,Shots,GoalInvolvements,ShotsOnTarget,KeyPasses,Tackles,FoulsCommitted,FoulsSuffered,Offsides,YellowCards,RedCards,PassPct,GAA,SavePct,G_per_game,A_per_game,S_per_game,SOT_per_game,KP_per_game,Minutes_per_game,playerId
L. Béland-Goyette,2020,Montréal,Midfielder,midfielder,10,648,0,0,2,0,0,0,9,23,3,0,3,0,79.0,1.81,0.0,0.0,0.0,0.2,0.0,0.0,64.8,cpl::Football_Player::eab0ad0262a74f8b93974c91a77742b0
L. Gasparotto,2020,York,Defender,defender,7,630,0,0,6,0,2,0,5,5,2,0,2,0,84.0,1.0,0.0,0.0,0.0,0.8571428571428571,0.2857142857142857,0.0,90.0,cpl::Football_Player::4a6631a1e64048b684e1097684c7e88b
L. MacNaughton,2020,,Defender,defender,8,720,1,0,7,0,1,0,9,15,10,0,0,0,82.0,1.12,0.0,0.125,0.0,0.875,0.125,0.0,90.0,cpl::Football_Player::5dd63e2f035e4b68a7987b7a747ecd51
L. Wright,2020,TSS Rovers,Forward,forward,4,128,1,0,3,0,1,0,2,2,0,0,0,0,58.0,0.0,0.0,0.25,0.0,0.75,0.25,0.0,32.0,cpl::Football_Player::5cfbd430bf3149adb654cadb7f68b7c2
M. Aparicio,2020,Atlético,Midfielder,midfielder,6,530,2,0,9,0,3,0,9,14,10,2,2,0,79.0,0.68,0.0,0.3333333333333333,0.0,1.5,0.5,0.0,88.33333333333333,cpl::Football_Player::5e944a82a82b42b483bed288bb7633a8
M. Arnone,2020,Atlético,Defender,defender,2,62,0,0,0,0,0,0,1,1,1,0,0,0,80.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,31.0,cpl::Football_Player::dbd655d062324c56adb1ab7d3e8ef373
M. Bustos,2020,Pacific,Forward,forward,10,849,5,3,19,0,11,3,3,12,35,2,3,0,85.0,1.17,0.0,0.5,0.3,1.9,1.1,0.3,84.9,cpl::Football_Player::91a915f684dc4b769c0cf45719f2a87e
M. Carducci,2020,Cavalry,Goalkeeper,goalkeeper,9,810,0,0,0,0,0,0,0,1,1,0,1,0,69.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,90.0,cpl::Football_Player::23c92ceb8bee415a886f16e93c507c65
M. Djaozandry,2020,Atlético,Defender,defender,1,6,0,0,0,0,0,0,1,0,0,0,0,0,100.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,cpl::Football_Player::5f585afd80bf4da49e777b319b807047
M. Doner,2020,York,Defender,defender,7,630,0,0,0,0,0,0,4,4,6,0,0,0,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,cpl::Football_Player::3d491de2b55343c2990181e2b04da353
M. Dyer,2020,Vancouver FC,Forward,forward,6,272,1,0,8,0,2,0,3,10,12,2,0,0,81.0,0.66,0.0,0.16666666666666666,0.0,1.3333333333333333,0.3333333333333333,0.0,45.333333333333336,cpl::Football_Player::06a7cbbdbcac4641ac0ddc55b4c05117
M. Farsi,2020,Columbus,Defender,defender,10,611,1,1,3,0,2,1,8,7,20,0,2,0,75.0,1.03,0.0,0.1,0.1,0.3,0.2,0.1,61.1,cpl::Football_Player::7efa8b85b3504cb88554fb705dcc5e4a
M. Haber,2020,Pacific,Forward,forward,9,507,2,0,14,0,8,0,0,16,9,2,1,0,62.0,0.89,0.0,0.2222222222222222,0.0,1.5555555555555556,0.8888888888888888,0.0,56.333333333333336,cpl::Football_Player::0a9e81414bcf48d388274099578d7521
M. Hamilton,2020,Cavalry,Defender,defender,7,630,0,1,0,0,0,1,7,10,3,0,0,0,82.0,1.71,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,90.0,cpl::Football_Player::e7267f506fe9420b8f1529ab912d5a08
M. Kacher,2020,Valour,Midfielder,midfielder,6,360,1,0,4,0,1,0,1,2,6,1,1,0,75.0,0.75,0.0,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.0,60.0,cpl::Football_Player::ce3fbd6fe22a4e729054951b2effe079
